ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",1303,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",6005,0.04566748292697766
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",1803.7987692644654,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",10073,0.07660425570748475
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",603.0489200719954,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",3748,0.028503201666996214
0,"White Alone",1,"Hispanic or Latino",2017,"2017",1374,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",14490,0.11019514198366466
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",2499,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",18834,0.1432308698495749
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",1754,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",28363,0.21569805466409114
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",422,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",558,0.004243539629184601
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",2215,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",37498,0.2851689050450971
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",27,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0,0
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",99,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",181,0.001376488661079593
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",30.000000000000004,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",36,0.0002737767502699743
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",342,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",497,0.0037796401356715898
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",120.00000000000001,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",107,0.0008137253410802014
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",1193,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",11104,0.08444491763882762
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",1329,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",6386,0.04916808463131636
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",1496.1353548392606,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",9370,0.07214296163411123
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",1936,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",37094,0.28559989528876434
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",27,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0,0
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",68,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",148,0.0011395046234630162
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",2161,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",19072,0.1468421093154503
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",1641,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",27924,0.21499680476744096
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",41,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",41,0.0003156735781215112
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",178,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",316,0.0024329963582048184
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",756.5844301860831,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",3875,0.02983500281026478
0,"White Alone",1,"Hispanic or Latino",2016,"2016",1578,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",14055,0.10821444245116683
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",49,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",38,0.00029257551142969335
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",1142,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",10832,0.08339941946859047
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",476,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",730,0.005620529561675688
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",253,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",370,0.002821046532018878
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",1784,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",36664,0.2795428379728112
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",48,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",52,0.00039647140449995043
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",1178,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",10991,0.08380033090113376
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",1452.1959234208036,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",8619,0.06571513529586678
